The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
25/11/1998,0:00:00,4.510,100 (Leost Code),25/11/1998 19:15
26/11/1998,0:00:00,4.290,100 (Leost Code),26/11/1998 9:30
27/11/1998,0:00:00,4.040,161 (Data Loss),27/11/1998 0:00
28/11/1998,0:00:00,4.040,161 (Data Loss),28/11/1998 0:00
29/11/1998,0:00:00,4.040,161 (Data Loss),29/11/1998 0:00
30/11/1998,0:00:00,4.040,161 (Data Loss),30/11/1998 0:00
1/12/1998,0:00:00,4.040,161 (Data Loss),1/12/1998 0:00
2/12/1998,0:00:00,4.040,161 (Data Loss),2/12/1998 0:00
3/12/1998,0:00:00,4.040,161 (Data Loss),3/12/1998 0:00
4/12/1998,0:00:00,4.040,161 (Data Loss),4/12/1998 0:00
5/12/1998,0:00:00,4.040,161 (Data Loss),5/12/1998 0:00
6/12/1998,0:00:00,4.040,161 (Data Loss),6/12/1998 0:00
7/12/1998,0:00:00,4.040,161 (Data Loss),7/12/1998 0:00
8/12/1998,0:00:00,4.040,161 (Data Loss),8/12/1998 0:00
9/12/1998,0:00:00,4.040,161 (Data Loss),9/12/1998 0:00
10/12/1998,0:00:00,4.040,161 (Data Loss),10/12/1998 0:00
11/12/1998,0:00:00,4.040,161 (Data Loss),11/12/1998 0:00
12/12/1998,0:00:00,4.040,161 (Data Loss),12/12/1998 0:00
13/12/1998,0:00:00,4.040,161 (Data Loss),13/12/1998 0:00
14/12/1998,0:00:00,4.040,161 (Data Loss),14/12/1998 0:00
15/12/1998,0:00:00,4.040,161 (Data Loss),15/12/1998 0:00
16/12/1998,0:00:00,4.040,161 (Data Loss),16/12/1998 0:00
17/12/1998,0:00:00,4.040,161 (Data Loss),17/12/1998 0:00
18/12/1998,0:00:00,4.040,161 (Data Loss),18/12/1998 0:00
19/12/1998,0:00:00,4.040,161 (Data Loss),19/12/1998 0:00
20/12/1998,0:00:00,4.040,161 (Data Loss),20/12/1998 0:00
21/12/1998,0:00:00,4.040,161 (Data Loss),21/12/1998 0:00
22/12/1998,0:00:00,4.040,161 (Data Loss),22/12/1998 0:00
23/12/1998,0:00:00,4.040,161 (Data Loss),23/12/1998 0:00
24/12/1998,0:00:00,4.040,161 (Data Loss),24/12/1998 0:00
25/12/1998,0:00:00,4.040,161 (Data Loss),25/12/1998 0:00
26/12/1998,0:00:00,4.040,161 (Data Loss),26/12/1998 0:00
27/12/1998,0:00:00,4.030,161 (Data Loss),27/12/1998 0:00
28/12/1998,0:00:00,4.030,161 (Data Loss),28/12/1998 0:00
29/12/1998,0:00:00,4.030,161 (Data Loss),29/12/1998 0:00
30/12/1998,0:00:00,4.030,161 (Data Loss),30/12/1998 0:00
31/12/1998,0:00:00,4.030,161 (Data Loss),31/12/1998 0:00
1/01/1999,0:00:00,4.030,161 (Data Loss),1/01/1999 0:00
2/01/1999,0:00:00,4.030,161 (Data Loss),2/01/1999 0:00
3/01/1999,0:00:00,4.030,161 (Data Loss),3/01/1999 0:00
4/01/1999,0:00:00,4.030,161 (Data Loss),4/01/1999 0:00
5/01/1999,0:00:00,4.030,161 (Data Loss),5/01/1999 0:00
6/01/1999,0:00:00,4.030,161 (Data Loss),6/01/1999 0:00
7/01/1999,0:00:00,4.030,161 (Data Loss),7/01/1999 0:00
8/01/1999,0:00:00,4.030,161 (Data Loss),8/01/1999 0:00
9/01/1999,0:00:00,4.030,161 (Data Loss),9/01/1999 0:00
10/01/1999,0:00:00,4.030,161 (Data Loss),10/01/1999 0:00
11/01/1999,0:00:00,4.030,161 (Data Loss),11/01/1999 0:00
12/01/1999,0:00:00,4.030,161 (Data Loss),12/01/1999 0:00
13/01/1999,0:00:00,4.030,161 (Data Loss),13/01/1999 0:00
14/01/1999,0:00:00,4.030,161 (Data Loss),14/01/1999 0:00
15/01/1999,0:00:00,4.030,161 (Data Loss),15/01/1999 0:00
16/01/1999,0:00:00,4.030,161 (Data Loss),16/01/1999 0:00
17/01/1999,0:00:00,4.030,161 (Data Loss),17/01/1999 0:00
18/01/1999,0:00:00,4.030,161 (Data Loss),18/01/1999 0:00
19/01/1999,0:00:00,4.030,161 (Data Loss),19/01/1999 0:00
20/01/1999,0:00:00,4.030,161 (Data Loss),20/01/1999 0:00
21/01/1999,0:00:00,4.350,100 (Leost Code),21/01/1999 12:30
22/01/1999,0:00:00,4.310,100 (Leost Code),22/01/1999 15:45
23/01/1999,0:00:00,4.040,161 (Data Loss),23/01/1999 0:00
24/01/1999,0:00:00,4.040,161 (Data Loss),24/01/1999 0:00
25/01/1999,0:00:00,4.040,161 (Data Loss),25/01/1999 0:00
26/01/1999,0:00:00,4.040,161 (Data Loss),26/01/1999 0:00
27/01/1999,0:00:00,4.040,161 (Data Loss),27/01/1999 0:00
28/01/1999,0:00:00,4.040,161 (Data Loss),28/01/1999 0:00
29/01/1999,0:00:00,4.040,161 (Data Loss),29/01/1999 0:00
30/01/1999,0:00:00,4.040,161 (Data Loss),30/01/1999 0:00
31/01/1999,0:00:00,4.040,161 (Data Loss),31/01/1999 0:00
1/02/1999,0:00:00,4.040,161 (Data Loss),1/02/1999 0:00
2/02/1999,0:00:00,4.040,161 (Data Loss),2/02/1999 0:00
3/02/1999,0:00:00,4.040,161 (Data Loss),3/02/1999 0:00
4/02/1999,0:00:00,4.040,161 (Data Loss),4/02/1999 0:00
5/02/1999,0:00:00,4.040,161 (Data Loss),5/02/1999 0:00
6/02/1999,0:00:00,4.040,161 (Data Loss),6/02/1999 0:00
7/02/1999,0:00:00,4.040,161 (Data Loss),7/02/1999 0:00
8/02/1999,0:00:00,4.040,161 (Data Loss),8/02/1999 0:00
9/02/1999,0:00:00,4.420,100 (Leost Code),9/02/1999 4:00
10/02/1999,0:00:00,4.040,161 (Data Loss),10/02/1999 0:00
11/02/1999,0:00:00,4.040,161 (Data Loss),11/02/1999 0:00
12/02/1999,0:00:00,4.040,161 (Data Loss),12/02/1999 0:00
13/02/1999,0:00:00,4.040,161 (Data Loss),13/02/1999 0:00
14/02/1999,0:00:00,4.040,161 (Data Loss),14/02/1999 0:00
15/02/1999,0:00:00,4.040,161 (Data Loss),15/02/1999 0:00
16/02/1999,0:00:00,4.030,161 (Data Loss),16/02/1999 0:00
17/02/1999,0:00:00,4.030,161 (Data Loss),17/02/1999 0:00
18/02/1999,0:00:00,4.030,161 (Data Loss),18/02/1999 0:00
19/02/1999,0:00:00,4.030,161 (Data Loss),19/02/1999 0:00
20/02/1999,0:00:00,4.030,161 (Data Loss),20/02/1999 0:00
21/02/1999,0:00:00,4.030,161 (Data Loss),21/02/1999 0:00
22/02/1999,0:00:00,4.030,161 (Data Loss),22/02/1999 0:00
