EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6691,25,5,Southern Slopes (Tasmania),frequent,17.09,12.4,12.66,38.94,18.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6587,25,5,Southern Slopes (Tasmania),intermediate,16.53,13.04,17.39,32.17,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631,25,5,Southern Slopes (Tasmania),intermediate,32.23,19.39,8.52,13.93,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6635,25,5,Southern Slopes (Tasmania),intermediate,28.78,24.24,22.73,1.52,22.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6639,25,5,Southern Slopes (Tasmania),intermediate,14.29,33.67,12.24,14.29,25.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6657,25,5,Southern Slopes (Tasmania),intermediate,24.05,25.95,20.61,17.86,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6673,25,5,Southern Slopes (Tasmania),intermediate,20,24.29,17.14,21.43,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6675,25,5,Southern Slopes (Tasmania),intermediate,22.86,22.23,21.74,17.25,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6677,25,5,Southern Slopes (Tasmania),intermediate,11.51,30.01,15.23,29.5,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6678,25,5,Southern Slopes (Tasmania),intermediate,15.85,14.25,40.74,18.93,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6681,25,5,Southern Slopes (Tasmania),intermediate,19.22,22.44,2.13,31.43,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
