time,wl-21,wl-21_catchment,wl-2,wl-2_catchment,wl-19,wl-19_catchment
2020-02-12 07:35:00,-14.272727000000032,4437.304108000179,42.75,4437.304108000179,19.5,4437.304108000179
2020-02-12 07:40:00,-14.272727000000032,4890.768908550553,42.75,4890.768908550553,19.5,4890.768908550553
2020-02-12 07:45:00,-14.272727000000032,4974.466584734768,42.75,4974.466584734768,19.5,4974.466584734768
2020-02-12 07:50:00,-14.272727000000032,5059.867186228023,42.75,5059.867186228023,19.5,5059.867186228023
2020-02-12 07:55:00,-14.272727000000032,5139.664033774452,42.75,5139.664033774452,19.5,5139.664033774452
2020-02-12 08:00:00,-14.272727000000032,5214.722808746221,42.75,5214.722808746221,19.5,5214.722808746221
2020-02-12 08:05:00,-14.272727000000032,5667.5378840692065,42.75,5667.5378840692065,19.5,5667.5378840692065
2020-02-12 08:10:00,-14.272727000000032,5750.77233979921,42.75,5750.77233979921,19.5,5750.77233979921
2020-02-12 08:15:00,-14.272727000000032,5830.446078330305,42.75,5830.446078330305,19.5,5830.446078330305
2020-02-12 08:20:00,-14.272727000000032,5905.770313494839,42.75,5905.770313494839,19.5,5905.770313494839
2020-02-12 08:25:00,-14.272727000000032,5976.140280840446,42.75,5976.140280840446,19.5,5976.140280840446
2020-02-12 08:30:00,-14.272727000000032,6041.108208158697,42.75,6041.108208158697,19.5,6041.108208158697
2020-02-12 08:35:00,-14.272727000000032,6100.359076679417,42.75,6100.359076679417,19.5,6100.359076679417
2020-02-12 08:40:00,-14.272727000000032,6153.689234460049,42.75,6153.689234460049,19.5,6153.689234460049
2020-02-12 08:45:00,24.0,6200.987758643163,-63.45454500000005,6200.987758643163,26.545454999999947,6200.987758643163
2020-02-12 08:50:00,24.0,6242.220365745783,-63.45454500000005,6242.220365745783,26.545454999999947,6242.220365745783
2020-02-12 08:55:00,24.0,6277.41562016196,-63.45454500000005,6277.41562016196,26.545454999999947,6277.41562016196
2020-02-12 09:00:00,24.0,6306.653175223613,-63.45454500000005,6306.653175223613,26.545454999999947,6306.653175223613
2020-02-12 09:05:00,24.0,6330.05378657237,-63.45454500000005,6330.05378657237,26.545454999999947,6330.05378657237
2020-02-12 09:10:00,24.0,6347.770855469532,-63.45454500000005,6347.770855469532,26.545454999999947,6347.770855469532
2020-02-12 09:15:00,24.0,6359.983283836993,-63.45454500000005,6359.983283836993,26.545454999999947,6359.983283836993
2020-02-12 09:20:00,24.0,6366.889449152139,-63.45454500000005,6366.889449152139,26.545454999999947,6366.889449152139
2020-02-12 09:25:00,24.0,6368.702133226636,-63.45454500000005,6368.702133226636,26.545454999999947,6368.702133226636
2020-02-12 09:30:00,24.0,6365.644262901439,-63.45454500000005,6365.644262901439,26.545454999999947,6365.644262901439
2020-02-12 09:35:00,24.0,6357.945342067546,-63.45454500000005,6357.945342067546,26.545454999999947,6357.945342067546
2020-02-12 09:40:00,24.0,6345.838472949443,-63.45454500000005,6345.838472949443,26.545454999999947,6345.838472949443
2020-02-12 09:45:00,24.0,6329.55788034372,-63.45454500000005,6329.55788034372,26.545454999999947,6329.55788034372
2020-02-12 09:50:00,24.0,6309.336865733507,-63.45454500000005,6309.336865733507,26.545454999999947,6309.336865733507
2020-02-12 09:55:00,24.0,6285.406129219715,-63.45454500000005,6285.406129219715,26.545454999999947,6285.406129219715
2020-02-12 10:00:00,24.0,6257.992406359545,-63.45454500000005,6257.992406359545,26.545454999999947,6257.992406359545
2020-02-12 10:05:00,24.0,6227.317374600958,-63.45454500000005,6227.317374600958,26.545454999999947,6227.317374600958
2020-02-12 10:10:00,24.0,6193.59679033366,-63.45454500000005,6193.59679033366,26.545454999999947,6193.59679033366
2020-02-12 10:15:00,24.0,6157.039822885569,-63.45454500000005,6157.039822885569,26.545454999999947,6157.039822885569
2020-02-12 10:20:00,24.0,6117.848556278867,-63.45454500000005,6117.848556278867,26.545454999999947,6117.848556278867
2020-02-12 10:25:00,24.0,6076.217633382982,-63.45454500000005,6076.217633382982,26.545454999999947,6076.217633382982
2020-02-12 10:30:00,24.0,6032.334020390207,-63.45454500000005,6032.334020390207,26.545454999999947,6032.334020390207
2020-02-12 10:35:00,24.0,5986.376872392001,-63.45454500000005,5986.376872392001,26.545454999999947,5986.376872392001
2020-02-12 10:40:00,24.0,5938.51748332631,-63.45454500000005,5938.51748332631,26.545454999999947,5938.51748332631
2020-02-12 10:45:00,24.0,5888.919305756734,-63.45454500000005,5888.919305756734,26.545454999999947,5888.919305756734
